wall	utterance	gapMs	chars	rate	pitch	locale	voice	callerUid	text
20:57:29.368	1	0	12	100	100	eng-GBR	en-GB	10044	CHAPTER TWO 
20:57:29.501	2	133	2	100	100	eng-GBR	en-GB	10044	1 
20:57:29.544	3	38	38	100	100	eng-GBR	en-GB	10044	The rain had not let up since morning.
20:57:29.589	4	45	27	100	100	eng-GBR	en-GB	10044	Sarah crossed to the window,
20:57:29.621	5	32	17	100	100	eng-GBR	en-GB	10044	 moving slowly,
20:57:29.657	6	36	62	100	100	eng-GBR	en-GB	10044	 and stood there a while without saying anything at all.
20:57:29.717	7	60	10	100	100	eng-GBR	en-GB	10044	"I know,"
20:57:29.770	8	53	12	100	100	eng-GBR	en-GB	10044	 said Sarah.
20:57:29.810	9	40	39	100	100	eng-GBR	en-GB	10044	Thomas did not turn from the desk.
20:57:29.880	10	70	16	100	100	eng-GBR	en-GB	10044	"You have been"
20:57:29.919	11	39	28	100	100	eng-GBR	en-GB	10044	 avoiding the letter,
20:57:29.954	12	35	14	100	100	eng-GBR	en-GB	10044	 she said.
20:57:58.085	13	28131	20	100	100	eng-GBR	en-GB	10044	He responded at last.
20:57:58.170	14	85	34	100	100	eng-GBR	en-GB	10044	 The clock in the hall struck four,
20:57:58.277	15	107	22	100	100	eng-GBR	en-GB	10044	 and none of them moved.
