# Classic style: explicit speech tags, most lines resolvable by Tier 1 alone.
NARRATION	The rain had not let up since morning, and the windows of the reading room were grey with it.
Sarah	"You have been standing there for a quarter of an hour," said Sarah.
Thomas	"I have been thinking," Thomas replied.
Sarah	"You have been avoiding the letter."
NARRATION	He turned from the window at last.
Thomas	Thomas said, "It is not a letter that improves with reading."
Sarah	"Few of them are," she said.
Mr Ashcombe	"Then let me read it," said Mr Ashcombe from the doorway, and both of them started.
NARRATION	Nobody had heard him come in. He crossed the room with the particular quietness of a man who has spent his life in libraries.
Thomas	"It is addressed to me," Thomas said, more sharply than he meant.
Mr Ashcombe	"And it concerns all of us," answered Mr Ashcombe.
Sarah	"Both of those things can be true," Sarah observed.
Thomas|Mr Ashcombe	"Not at the same time," said Thomas. "They very often are," said Mr Ashcombe.
NARRATION	The clock in the hall struck four, and none of them moved.
Sarah	"Read it aloud, then," Sarah said to Thomas, "and let us have it over with."
